Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,382.500000,389.799988,381.399994,386.350006,385.222046,53072303
2020-08-26,388.200012,391.649994,384.200012,389.350006,388.213287,37163882
2020-08-27,389.950012,397.450012,387.600006,392.200012,391.054993,36910405
2020-08-28,393.899994,411.899994,392.899994,409.700012,408.503906,83472297
2020-08-31,414.850006,422.000000,387.500000,394.600006,393.447968,72744175
2020-09-01,394.700012,399.649994,385.299988,390.950012,389.808624,34872793
2020-09-02,387.250000,394.000000,381.100006,392.399994,391.254395,31295799
2020-09-03,392.399994,392.549988,381.049988,382.750000,381.632568,26135555
2020-09-04,375.000000,379.950012,368.350006,372.549988,371.462341,33118984
2020-09-07,374.100006,376.850006,369.000000,373.399994,372.309845,22323904
2020-09-08,372.399994,381.299988,369.149994,375.700012,374.603149,32052920
2020-09-09,370.799988,372.399994,361.899994,367.600006,366.526794,25285238
2020-09-10,371.700012,375.000000,365.450012,370.700012,369.617767,24852274
2020-09-11,373.000000,373.649994,365.100006,370.500000,369.418335,22678353
2020-09-14,373.500000,373.850006,359.350006,363.700012,362.638184,27140598
2020-09-15,364.049988,372.250000,363.700012,371.549988,370.465240,24967618
2020-09-16,371.350006,376.700012,365.000000,374.700012,373.606079,22068622
2020-09-17,370.000000,371.750000,367.399994,369.000000,367.922699,24084936
2020-09-18,370.000000,374.649994,364.549988,369.549988,368.471100,78166508
2020-09-21,366.649994,367.399994,348.500000,350.700012,349.676147,28932482
2020-09-22,354.000000,356.149994,349.500000,354.399994,353.365326,28593292
2020-09-23,356.600006,357.100006,342.450012,351.850006,350.822784,22740143
2020-09-24,344.950012,346.950012,333.750000,335.700012,334.719940,25840472
2020-09-25,339.049988,350.500000,336.600006,348.649994,347.632111,23231600
2020-09-28,351.500000,363.950012,349.100006,363.000000,361.940216,18495592
2020-09-29,363.750000,363.750000,354.250000,357.049988,356.007568,17080848
2020-09-30,356.950012,357.500000,349.350006,354.750000,353.714294,19565058
2020-10-01,358.250000,371.200012,358.250000,369.200012,368.122131,23237122
2020-10-05,370.750000,382.649994,370.750000,373.100006,372.010742,26530105
2020-10-06,377.100006,381.799988,375.100006,380.600006,379.488861,18093629
2020-10-07,379.299988,384.350006,374.100006,382.649994,381.532837,21845743
2020-10-08,385.000000,389.700012,382.649994,387.500000,386.368683,21085500
2020-10-09,390.700012,403.500000,386.899994,401.500000,400.327820,41641237
2020-10-12,403.450012,410.000000,400.700012,404.049988,402.870361,25742564
2020-10-13,401.000000,401.000000,393.500000,396.250000,395.093140,19922778
2020-10-14,394.350006,409.250000,389.000000,406.799988,405.612335,23368177
2020-10-15,406.899994,409.899994,389.149994,391.000000,389.858490,34234586
2020-10-16,394.000000,401.299988,390.500000,396.100006,394.943604,25339096
2020-10-19,402.049988,418.750000,401.149994,417.100006,415.882294,41072871
2020-10-20,413.500000,416.899994,411.000000,414.600006,413.389587,26158669
2020-10-21,416.000000,428.500000,410.299988,420.299988,419.072937,43124966
2020-10-22,416.399994,419.649994,407.649994,412.899994,411.694550,33088074
2020-10-23,417.000000,420.500000,411.750000,416.950012,415.732727,22151463
2020-10-26,418.049988,419.149994,401.450012,404.450012,403.269226,21712057
2020-10-27,406.350006,412.399994,393.250000,409.950012,408.753174,33571163
2020-10-28,409.899994,409.899994,394.799988,396.049988,394.893707,28145103
2020-10-29,392.250000,402.899994,389.649994,399.899994,398.732483,32615425
2020-10-30,399.399994,402.700012,388.049988,392.600006,391.453827,27225165
2020-11-02,417.000000,422.799988,407.000000,417.450012,416.231262,72698777
2020-11-03,425.000000,446.899994,424.200012,443.850006,442.554199,61813071
2020-11-04,437.299988,442.000000,425.299988,437.049988,435.774017,43426662
2020-11-05,445.000000,446.250000,435.600006,438.500000,437.219788,30129938
2020-11-06,439.850006,444.899994,436.200012,442.799988,441.507233,27831424
2020-11-09,450.000000,464.600006,449.000000,462.700012,461.349152,40995422
2020-11-10,485.799988,487.049988,473.000000,483.850006,482.437408,57535138
2020-11-11,484.750000,490.549988,472.100006,486.549988,485.129517,45609279
2020-11-12,481.600006,483.549988,471.350006,476.700012,475.308289,31071572
2020-11-13,472.700012,487.100006,467.549988,485.549988,484.132416,34815091
2020-11-14,null,null,null,null,null,null
2020-11-17,490.500000,493.000000,478.149994,486.399994,484.979950,36127378
2020-11-18,488.000000,499.000000,486.250000,497.649994,496.197113,29156543
2020-11-19,490.000000,493.350006,475.799988,478.750000,477.352295,31896908
2020-11-20,479.500000,483.450012,468.100006,480.200012,478.798065,30089190
2020-11-23,481.799988,483.350006,466.500000,468.250000,466.882935,29513544
2020-11-24,474.000000,480.000000,471.200012,478.200012,476.803925,23135994
2020-11-25,485.000000,489.950012,471.100006,472.700012,471.319977,34168305
2020-11-26,475.100006,477.200012,465.799988,475.299988,473.912354,28707911
2020-11-27,476.399994,479.549988,471.299988,473.350006,471.968048,48390771
2020-12-01,479.700012,488.500000,474.299988,485.100006,483.683746,20120049
2020-12-02,486.350006,487.000000,472.200012,480.450012,479.047333,21244707
2020-12-03,482.100006,485.000000,478.850006,481.850006,480.443237,22701738
2020-12-04,483.700012,504.000000,483.000000,502.049988,500.584259,39547014
2020-12-07,505.000000,515.599976,504.149994,510.450012,508.959747,37778332
2020-12-08,511.500000,512.000000,505.399994,508.399994,506.915710,19339943
2020-12-09,510.000000,515.000000,506.049988,511.500000,510.006683,21272782
2020-12-10,508.100006,514.400024,498.750000,506.950012,505.469971,20419020
2020-12-11,509.250000,516.900024,506.100006,515.450012,513.945129,25335765
2020-12-14,518.099976,527.799988,518.099976,525.799988,524.264893,26369591
2020-12-15,524.000000,524.250000,513.099976,518.049988,516.537537,26969145
2020-12-16,520.049988,521.700012,511.100006,512.450012,510.953918,24263586
2020-12-17,514.000000,516.500000,509.100006,510.399994,508.909882,23883288
2020-12-18,514.000000,518.250000,509.149994,517.150024,515.640198,21735833
2020-12-21,514.599976,514.700012,488.200012,494.500000,493.056305,29157759
2020-12-22,497.299988,501.799988,489.100006,500.299988,498.839355,32328041
2020-12-23,499.000000,505.500000,496.549988,503.600006,502.129761,19205951
2020-12-24,506.750000,515.950012,505.100006,513.549988,512.050659,17576807
2020-12-28,515.900024,521.200012,513.599976,520.099976,518.581543,14470472
2020-12-29,522.549988,530.799988,517.849976,528.799988,527.256165,19092649
2020-12-30,531.650024,533.000000,524.549988,528.750000,527.206299,21365141
2020-12-31,530.099976,538.500000,526.500000,535.049988,533.487915,27817770
2021-01-01,535.549988,537.000000,526.099976,527.500000,525.959961,13592625
2021-01-04,532.299988,535.000000,524.299988,531.700012,530.147705,16549750
2021-01-05,526.650024,539.950012,523.000000,537.250000,535.681519,23311516
